Year;Month;Inflation
2021;Styczeń;2.6
2021;Luty;2.4
2021;Marzec;3.2
2021;Kwiecień;4.3
2021;Maj;4.7
2021;Czerwiec;4.4
2021;Lipiec;5.0
2021;Sierpień;5.5
2021;Wrzesień;5.9
2021;Październik;6.8
2021;Listopad;7.8
2021;Grudzień;8.6
2022;Styczeń;9.4
2022;Luty;8.5
2022;Marzec;11.0
2022;Kwiecień;12.4
2022;Maj;13.9
2022;Czerwiec;15.5
2022;Lipiec;15.6
2022;Sierpień;16.1
2022;Wrzesień;17.2
2022;Październik;17.9
2022;Listopad;17.5
2022;Grudzień;16.6
2023;Styczeń;16.6
2023;Luty;18.4
2023;Marzec;16.1
2023;Kwiecień;14.7
2023;Maj;