Month;Year;Data;Cena_PMOZE;CenaPMOZE-BIO
1;2021;2021/01;141,01;300,18
2;2021;2021/02;141,66;300,22
3;2021;2021/03;142,36;300,19
4;2021;2021/04;144,33;300,42
5;2021;2021/05;146,36;301
6;2021;2021/06;150,08;302,24
7;2021;2021/07;155,59;303,48
8;2021;2021/08;163,7;302,75
9;2021;2021/09;171,58;301,5
10;2021;2021/10;192,73;300,72
11;2021;2021/11;238,74;301,12
12;2021;2021/12;258,3;301,37
1;2022;2022/01;272,52;301,59
2;2022;2022/02;261,87;301,7
3;2022;2022/03;265,03;301,95
4;2022;2022/04;244,11;302,54
5;2022;2022/05;228,89;302,86
6;2022;2022/06;206,23;302,97
7;2022;2022/07;186,96;302,51
8;2022;2022/08;174,02;302,01
9;2022;2022/09;168,66;301,16
10;2022;2022/10;152,26;300,34
11;2022;2022/11;144,09;300,04
12;2022;2022/12;145,62;300,05
1;2023;2023/01;171,27;300,21
2;2023;2023/02;190,49;300,15
3;2023;2023/03;209,72;300,19
4;2023;2023/04;218,69;300,17
5;2023;2023/05;214,98;300,42